61,Going in Style (2017),WB (NL),"$45,018,541","3,076","$11,932,330","3,061",4/7,7/13
62,All Eyez on Me,LG/S,"$44,922,302","2,471","$26,435,354","2,471",6/16,8/3
63,xXx: The Return of Xander Cage,Par.,"$44,898,413","3,651","$20,130,142","3,651",1/20,3/16
64,47 Meters Down,ENTMP,"$44,307,192","2,471","$11,205,561","2,270",6/16,10/19
65,The Big Sick,LGF,"$42,873,127","2,597","$421,577",5,6/23,10/22
66,Valerian and the City of a Thousand Planets,STX,"$41,189,488","3,553","$17,007,624","3,553",7/21,9/21
67,The Star,Sony,"$40,852,824","2,976","$9,812,674","2,837",11/17,-
68,Ghost in the Shell (2017),Par.,"$40,563,557","3,440","$18,676,033","3,440",3/31,5/25
69,King Arthur: Legend of the Sword,WB,"$39,175,066","3,702","$15,371,270","3,702",5/12,7/20
70,Jigsaw,LGF,"$38,052,832","2,941","$16,640,452","2,941",10/27,12/21
71,American Assassin,LGF,"$36,249,674","3,154","$14,846,778","3,154",9/15,11/9
72,The Foreigner,STX,"$34,393,507","2,515","$13,113,024","2,515",10/13,12/21
73,"Everything, Everything",WB,"$34,121,140","2,801","$11,727,390","2,801",5/19,7/27
74,Wind River,Wein.,"$33,800,859","2,890","$161,558",4,8/4,12/7
75,Geostorm,WB,"$33,700,160","3,246","$13,707,376","3,246",10/20,1/11
76,Monster Trucks,Par.,"$33,370,166","3,119","$10,950,705","3,119",1/13,3/16
77,Fist Fight,WB (NL),"$32,187,017","3,185","$12,201,873","3,185",2/17,4/13
78,How to be a Latin Lover,PNT,"$32,149,404","1,203","$12,252,439","1,118",4/28,6/22
79,Kidnap (2017),Aviron,"$30,718,107","2,418","$10,016,323","2,378",8/4,11/16
80,Underworld: Blood Wars,SGem,"$30,353,973","3,070","$13,688,751","3,070",1/6,3/9
81,The Mountain Between Us,Fox,"$30,348,555","3,259","$10,551,336","3,088",10/6,12/21
82,Life (2017),Sony,"$30,234,022","3,146","$12,501,936","3,146",3/24,6/1
83,Hostiles,ENTMP,"$29,465,383","2,934","$22,849",3,12/22,-
84,"I, Tonya",Neon,"$28,941,481","1,450","$264,155",4,12/8,-
85,Molly's Game,STX,"$28,740,252","1,708","$2,349,967",271,12/25,-
86,The Nut Job 2: Nutty by Nature,ORF,"$28,370,522","4,003","$8,342,311","4,003",8/11,9/28
87,Rings,Par.,"$27,793,018","2,931","$13,002,632","2,931",2/3,3/23
88,Logan Lucky,BST,"$27,780,977","3,031","$7,600,036","3,031",8/18,11/9
89,Home Again,ORF,"$27,020,284","3,036","$8,567,881","2,940",9/8,11/9
90,Resident Evil: The Final Chapter,SGem,"$26,830,068","3,104","$13,601,682","3,104",1/27,3/30
91,The House,WB (NL),"$25,584,504","3,134","$8,724,795","3,134",6/30,8/31
92,All the Money in the World,TriS,"$25,037,552","2,123","$5,584,684","2,074",12/25,-
93,Gifted,FoxS,"$24,801,212","2,215","$446,380",56,4/7,8/24
94,Downsizing,Par.,"$24,449,754","2,668","$4,954,287","2,668",12/22,2/1
95,The Bye Bye Man,STX,"$22,395,806","2,220","$13,501,349","2,220",1/13,2/16
96,Victoria and Abdul,Focus,"$22,245,070","1,060","$158,845",4,9/22,-
97,Rough Night,Sony,"$22,105,643","3,162","$8,004,283","3,162",6/16,8/31
98,My Little Pony: The Movie,LGF,"$21,885,107","2,528","$8,885,899","2,528",10/6,-
99,Leap!,Wein.,"$21,858,070","2,705","$4,730,038","2,575",8/25,12/7
100,The Disaster Artist,A24,"$21,117,606","1,010","$1,211,345",19,12/1,-
Totals:,"$11,076,670,784",-,-,-,-,-
Averages:,"$15,257,122",-,-,-,-,-
101,Sleepless,ORF,"$20,783,704","1,803","$8,344,128","1,803",1/13,3/9
102,Diary of a Wimpy Kid: The Long Haul,Fox,"$20,738,724","3,174","$7,126,084","3,157",5/19,8/17
103,The Circle (2017),STX,"$20,497,844","3,163","$9,034,148","3,163",4/28,6/8
104,Baahubali 2: The Conclusion,GrtIndia,"$20,186,659",425,"$10,430,497",425,4/28,5/25
105,Phantom Thread,Focus,"$20,162,689","1,186","$216,495",4,12/25,-
106,CHiPs,WB,"$18,600,152","2,464","$7,722,802","2,464",3/24,5/25
107,Only The Brave,Sony,"$18,343,983","2,577","$6,002,665","2,577",10/20,2/1
108,mother!,Par.,"$17,800,004","2,368","$7,534,673","2,368",9/15,10/26
109,The Zookeeper's Wife,Focus,"$17,571,660","1,057","$3,288,835",541,3/31,6/22
110,Father Figures,WB,"$17,501,244","2,902","$3,287,451","2,902",12/22,2/15
111,The Glass Castle,LGF,"$17,273,059","1,461","$4,678,548","1,461",8/11,10/12
112,Call Me by Your Name,SPC,"$16,909,289",914,"$412,932",4,11/24,-
113,Flatliners (2017),Sony,"$16,883,115","2,552","$6,574,326","2,552",9/29,11/23
114,Detroit,Annapurna,"$16,790,139","3,007","$350,190",20,7/28,10/12
115,The Case for Christ,PFR,"$14,682,684","1,386","$3,967,885","1,174",4/7,6/29
116,Wish Upon,BG,"$14,301,505","2,250","$5,467,084","2,250",7/14,10/12
117,It Comes At Night,A24,"$13,985,117","2,533","$5,988,370","2,533",6/9,9/17
118,Born in China,BV,"$13,873,211","1,508","$4,790,367","1,508",4/21,7/6
119,Megan Leavey,BST,"$13,406,883","1,956","$3,810,867","1,956",6/9,9/14
120,The Founder,Wein.,"$12,786,053","1,115","$3,404,102","1,115",1/19,4/27
121,Battle of the Sexes,FoxS,"$12,638,526","1,822","$518,332",21,9/22,12/21
122,Before I Fall,ORF,"$12,241,122","2,346","$4,690,214","2,346",3/3,4/27
123,"Roman J. Israel, Esq.",Sony,"$11,962,712","1,669","$61,999",4,11/17,-
124,Unforgettable (2017),WB,"$11,368,012","2,417","$4,785,431","2,417",4/21,6/1
125,The Beguiled (2017),Focus,"$10,709,995",941,"$229,292",4,6/23,8/17
126,The Belko Experiment,BH Tilt,"$10,166,820","1,341","$4,137,230","1,341",3/17,5/25
127,Marshall,ORF,"$10,051,659",821,"$3,000,805",821,10/13,1/18
128,Thank You for Your Service (2017),Uni.,"$9,536,300","2,083","$3,817,700","2,054",10/27,11/30
129,Rock Dog,LG/S,"$9,420,546","2,077","$3,704,749","2,077",2/24,4/13
130,The Lost City of Z,BST,"$8,580,410",866,"$110,175",4,4/14,7/20
131,The Promise (2017),ORF,"$8,224,288","2,251","$4,095,718","2,251",4/21,5/18
132,A Cure for Wellness,Fox,"$8,106,986","2,704","$4,356,941","2,704",2/17,3/23
133,The Space Between Us,STX,"$7,885,294","2,812","$3,775,596","2,812",2/3,3/2
134,Let there be Light,ADC,"$7,233,471",774,"$1,729,535",373,10/27,-
135,Gold,Wein.,"$7,227,038","2,166","$3,471,316","2,166",1/27,3/9
136,I am Not Your Negro,Magn.,"$7,123,919",320,"$686,378",43,2/3,6/8
137,Beatriz At Dinner,RAtt.,"$7,115,854",683,"$141,959",5,6/9,10/5
138,Birth of the Dragon,BH Tilt,"$6,901,965","1,633","$2,702,430","1,618",8/25,9/28
139,The Snowman,Uni.,"$6,700,035","1,815","$3,372,565","1,812",10/20,11/23
140,Loving Vincent,Good Deed,"$6,681,942",218,"$23,180",1,9/22,-
141,Same Kind of Different as Me,PFR,"$6,423,605","1,362","$2,591,985","1,362",10/20,2/1
142,Lowriders,BH Tilt,"$6,303,560",365,"$2,403,885",295,5/12,6/29
143,Maudie,SPC,"$6,170,998",233,"$45,920",4,4/14,11/16
144,Just Getting Started,BG,"$6,069,605","2,161","$3,201,459","2,161",12/8,1/25
145,The Florida Project,A24,"$5,873,664",229,"$157,553",4,10/6,-
146,All Saints,Sony,"$5,802,208",846,"$1,514,278",846,8/25,10/26
147,Suburbicon,Par.,"$5,775,178","2,046","$2,840,246","2,046",10/27,11/16
148,The Man Who Invented Christmas,BST,"$5,676,487",720,"$1,357,129",626,11/22,1/25
149,Paris Can Wait,SPC,"$5,617,731",447,"$98,850",4,5/12,9/28
150,Tiger Zinda Hai,Yash,"$5,560,921",299,"$1,787,108",299,12/22,-
151,Your Name.,FUN,"$5,017,246",311,"$1,813,781",311,4/7,7/27
152,The Book of Henry,Focus,"$4,504,974",650,"$1,424,540",579,6/16,8/17
153,Stronger,RAtt.,"$4,211,129",645,"$1,611,040",573,9/22,11/30
154,The Hero,Orch.,"$4,077,333",447,"$45,317",4,6/9,10/12
155,Sleight,BH Tilt,"$3,986,245",591,"$1,701,785",565,4/28,6/8
156,A United Kingdom,FoxS,"$3,902,185",317,"$66,510",4,2/10,5/25
157,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,SPC,"$3,814,868",373,"$99,211",5,4/14,7/30
158,Friend Request,ENTMP,"$3,759,078","2,573","$2,002,863","2,573",9/22,11/30
159,Table 19,FoxS,"$3,614,896",868,"$1,597,928",868,3/3,4/6
160,Their Finest,STX,"$3,603,484",330,"$76,197",4,4/7,6/22
